2024-11-08 17:35:29,276,2024/11/08, 17:35:29,匿名ユーザ,Press button,129
2024-11-08 17:35:29,452,2024/11/08, 17:35:29,匿名ユーザ,Press button,138
2024-11-08 17:35:29,601,2024/11/08, 17:35:29,匿名ユーザ,Press button,148
2024-11-08 17:35:29,753,2024/11/08, 17:35:29,匿名ユーザ,Press button,158
2024-11-08 17:35:29,920,2024/11/08, 17:35:29,匿名ユーザ,Press button,168
2024-11-08 17:35:30,060,2024/11/08, 17:35:30,匿名ユーザ,Press button,178
2024-11-08 17:35:30,271,2024/11/08, 17:35:30,匿名ユーザ,Press button,188
2024-11-08 17:35:30,469,2024/11/08, 17:35:30,匿名ユーザ,Press button,197
2024-11-08 17:35:30,684,2024/11/08, 17:35:30,匿名ユーザ,Press button,207
2024-11-08 17:35:31,348,2024/11/08, 17:35:31,匿名ユーザ,Press button,217
2024-11-08 17:35:31,535,2024/11/08, 17:35:31,匿名ユーザ,Press button,226
2024-11-08 17:35:31,721,2024/11/08, 17:35:31,匿名ユーザ,Press button,236
2024-11-08 17:35:31,872,2024/11/08, 17:35:31,匿名ユーザ,Press button,246
2024-11-08 17:35:32,023,2024/11/08, 17:35:32,匿名ユーザ,Press button,256
2024-11-08 17:35:32,225,2024/11/08, 17:35:32,匿名ユーザ,Press button,266
2024-11-08 17:35:32,356,2024/11/08, 17:35:32,匿名ユーザ,Finish printing
